IP地址,服务器地址,是否匿名,类型,速度,连接时间,存活时间,验证时间
106.75.226.36:808,山东济南,高匿,HTTPS,5.295秒,1.059秒,59天,2018/11/11 20:31
61.135.217.7:80,北京,高匿,HTTP,0.324秒,0.064秒,912天,2018/11/11 20:31
118.190.95.35:9001,广西,高匿,HTTP,0.052秒,0.01秒,142天,2018/11/11 20:31
61.178.149.237:59042,甘肃白银,高匿,HTTPS,1.809秒,0.361秒,14天,2018/11/11 20:30
183.15.172.23:61430,广东深圳,高匿,HTTPS,0.74秒,0.148秒,3天,2018/11/11 20:22
183.16.19.190:8123,广东深圳,高匿,HTTP,0.421秒,0.084秒,7分钟,2018/11/11 20:22
175.175.217.17:1133,辽宁抚顺,高匿,HTTPS,0.138秒,0.027秒,100天,2018/11/11 20:16
124.235.181.175:80,吉林长春,高匿,HTTP,0.153秒,0.03秒,42天,2018/11/11 20:15
175.148.74.17:1133,辽宁葫芦岛,高匿,HTTPS,0.15秒,0.03秒,4小时,2018/11/11 20:13
114.99.255.134:8118,安徽安庆,高匿,HTTPS,0.139秒,0.027秒,121天,2018/11/11 20:12
125.67.25.83:41681,四川甘孜州,高匿,HTTPS,0.342秒,0.068秒,2天,2018/11/11 20:02
58.53.128.83:3128,湖北潜江,高匿,HTTP,0.102秒,0.02秒,9天,2018/11/11 20:00
115.151.2.176:808,江西宜春,高匿,HTTPS,0.225秒,0.045秒,515天,2018/11/11 19:51
121.31.145.12:8123,广西北海,高匿,HTTP,1.599秒,0.319秒,826天,2018/11/11 19:44
59.110.240.249:8080,广东深圳,高匿,HTTPS,1.47秒,0.294秒,29天,2018/11/11 19:14
58.218.201.188:58093,江苏徐州,高匿,HTTPS,0.176秒,0.035秒,33天,2018/11/11 19:03
106.56.102.159:808,云南,高匿,HTTPS,0.363秒,0.072秒,1小时,2018/11/11 19:02
123.7.61.8:53281,河南洛阳,高匿,HTTPS,1.275秒,0.255秒,214天,2018/11/11 19:02
112.80.198.62:8123,江苏南京,高匿,HTTP,5.081秒,1.016秒,1分钟,2018/11/11 19:00
115.213.177.197:808,浙江丽水,高匿,HTTPS,0.511秒,0.102秒,532天,2018/11/11 19:00
121.225.26.161:3128,江苏南京,高匿,HTTPS,2.617秒,0.523秒,1分钟,2018/11/11 18:55
115.46.71.93:8123,广西南宁,高匿,HTTPS,2.902秒,0.58秒,267天,2018/11/11 18:40
180.110.5.28:3128,江苏南京,高匿,HTTPS,0.349秒,0.069秒,1分钟,2018/11/11 18:33
121.225.25.123:3128,江苏南京,高匿,HTTP,0.4秒,0.08秒,136天,2018/11/11 18:22
114.225.168.24:53128,江苏无锡,高匿,HTTPS,0.377秒,0.075秒,1分钟,2018/11/11 18:11
49.74.170.46:8123,江苏南京,高匿,HTTP,4.497秒,0.899秒,726天,2018/11/11 18:01
113.108.242.36:47713,广东广州,高匿,HTTPS,0.207秒,0.041秒,4天,2018/11/11 17:52
221.229.18.34:3128,江苏扬州,高匿,HTTP,2.358秒,0.471秒,295天,2018/11/11 17:45
110.87.24.106:6666,福建厦门,高匿,HTTP,1.499秒,0.299秒,2分钟,2018/11/11 17:33
222.180.24.13:808,重庆,高匿,HTTP,3.46秒,0.692秒,513天,2018/11/11 17:24
120.69.82.110:44693,新疆石河子,高匿,HTTPS,0.311秒,0.062秒,6天,2018/11/11 17:24
183.45.88.109:61710,广东珠海,高匿,HTTPS,0.842秒,0.168秒,29天,2018/11/11 17:16
113.200.27.10:53281,陕西西安,高匿,HTTPS,0.131秒,0.026秒,109天,2018/11/11 16:44
223.145.212.16:8118,湖南,高匿,HTTPS,0.198秒,0.039秒,2天,2018/11/11 16:15
180.118.241.49:61234,江苏镇江,高匿,HTTP,0.377秒,0.075秒,307天,2018/11/11 16:11
113.88.60.24:8123,广东深圳,高匿,HTTPS,0.243秒,0.048秒,1分钟,2018/11/11 16:01
121.31.141.171:8123,广西北海,高匿,HTTP,0.565秒,0.113秒,771天,2018/11/11 15:51
115.46.97.45:8123,广西南宁,高匿,HTTP,3.606秒,0.721秒,397天,2018/11/11 15:33
171.37.157.187:8123,广西,高匿,HTTP,3.571秒,0.714秒,598天,2018/11/11 15:31
121.31.138.13:8123,广西北海,高匿,HTTPS,0.393秒,0.078秒,30分钟,2018/11/11 15:30
123.235.32.36:38267,山东青岛,高匿,HTTPS,3.908秒,0.781秒,47天,2018/11/11 15:22
110.154.180.212:8118,新疆,高匿,HTTPS,0.333秒,0.066秒,1分钟,2018/11/11 15:22
183.16.226.199:8123,广东深圳,高匿,HTTPS,0.188秒,0.037秒,38分钟,2018/11/11 15:11
221.210.120.153:54402,黑龙江绥化地区,高匿,HTTP,2.225秒,0.445秒,14小时,2018/11/11 15:06
171.37.157.158:8123,广西,高匿,HTTP,0.753秒,0.15秒,1121天,2018/11/11 15:01
101.94.2.184:8123,上海,高匿,HTTPS,1.726秒,0.345秒,1分钟,2018/11/11 15:01
113.105.152.87:41473,广东东莞,高匿,HTTPS,0.232秒,0.046秒,49天,2018/11/11 15:00
218.59.228.18:61976,山东枣庄,高匿,HTTPS,3.116秒,0.623秒,58天,2018/11/11 14:55
60.191.201.38:45461,浙江金华,高匿,HTTPS,0.284秒,0.056秒,61天,2018/11/11 14:45
122.4.247.109:50255,山东潍坊,高匿,HTTPS,0.201秒,0.04秒,5天,2018/11/11 14:22
125.40.109.154:31610,河南洛阳,高匿,HTTP,1.458秒,0.291秒,31天,2018/11/11 14:22
218.65.254.114:8118,广西桂林,高匿,HTTP,0.236秒,0.047秒,24天,2018/11/11 13:45
180.110.6.62:3128,江苏南京,高匿,HTTPS,0.191秒,0.038秒,1分钟,2018/11/11 13:33
180.110.5.189:808,江苏南京,高匿,HTTPS,0.204秒,0.04秒,506天,2018/11/11 13:33
219.238.186.188:8118,北京,高匿,HTTP,2.015秒,0.403秒,92天,2018/11/11 13:23
180.168.13.26:8000,上海,高匿,HTTP,4.068秒,0.813秒,103天,2018/11/11 13:10
182.88.166.202:8123,广西南宁,高匿,HTTP,0.173秒,0.034秒,1分钟,2018/11/11 13:00
171.39.4.86:8123,广西百色,高匿,HTTP,0.257秒,0.051秒,4分钟,2018/11/11 12:50
121.31.160.65:8123,广西北海,高匿,HTTPS,0.721秒,0.144秒,2小时,2018/11/11 12:42
115.29.170.58:8118,北京,高匿,HTTP,0.142秒,0.028秒,811天,2018/11/11 12:36
182.88.215.154:8123,广西南宁,高匿,HTTPS,0.198秒,0.039秒,27天,2018/11/11 12:22
218.86.87.171:53281,福建龙岩,高匿,HTTPS,0.205秒,0.041秒,131天,2018/11/11 12:22
182.88.129.56:8123,广西南宁,高匿,HTTP,0.214秒,0.042秒,4分钟,2018/11/11 12:20
124.42.68.152:90,河北廊坊,高匿,HTTPS,7.773秒,1.554秒,102天,2018/11/11 11:53
58.57.75.142:63000,山东潍坊,高匿,HTTP,0.126秒,0.025秒,1077天,2018/11/11 11:52
221.1.200.242:38652,山东菏泽,高匿,HTTPS,0.116秒,0.023秒,31天,2018/11/11 11:22
60.186.190.194:8118,浙江杭州,高匿,HTTPS,0.166秒,0.033秒,4小时,2018/11/11 11:15
124.235.135.166:80,吉林长春,高匿,HTTP,0.478秒,0.095秒,9天,2018/11/11 11:13
61.187.206.207:46693,湖南娄底市冷水江,高匿,HTTPS,4.125秒,0.825秒,46天,2018/11/11 11:01
110.73.43.185:8123,广西南宁,高匿,HTTP,6.497秒,1.299秒,109天,2018/11/11 11:01
49.71.81.200:3128,江苏苏州,高匿,HTTPS,0.562秒,0.112秒,265天,2018/11/11 10:44
222.128.9.235:59593,北京,高匿,HTTPS,0.032秒,0.006秒,45天,2018/11/11 10:33
183.15.122.29:3128,广东深圳,高匿,HTTP,0.368秒,0.073秒,1分钟,2018/11/11 10:30
180.163.152.130:60596,上海,高匿,HTTPS,0.173秒,0.034秒,31天,2018/11/11 10:22
121.225.24.99:3128,江苏南京,高匿,HTTPS,0.248秒,0.049秒,1分钟,2018/11/11 10:22
221.218.102.146:33323,北京,高匿,HTTPS,0.019秒,0.003秒,46天,2018/11/11 10:22
101.92.200.117:8123,上海,高匿,HTTPS,4.764秒,0.952秒,17天,2018/11/11 10:15
115.46.79.112:8123,广西南宁,高匿,HTTP,0.192秒,0.038秒,1分钟,2018/11/11 10:15
222.184.7.206:40908,江苏淮安,高匿,HTTP,0.159秒,0.031秒,3天,2018/11/11 10:15
123.132.232.254:37638,山东临沂,高匿,HTTPS,2.389秒,0.477秒,48天,2018/11/11 10:11
