{'股票名称': 'R007', '股票代码': '201001', '价格': '2.48', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'R091', '股票代码': '201004', '价格': '4.45', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'R182', '股票代码': '201005', '价格': '3.80', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'R014', '股票代码': '201002', '价格': '3.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'RC003', '股票代码': '202003', '价格': '1.80', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'R002', '股票代码': '201009', '价格': '1.67', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'R004', '股票代码': '201010', '价格': '4.18', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'RC007', '股票代码': '202007', '价格': '2.20', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'R003', '股票代码': '201000', '价格': '2.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'R028', '股票代码': '201003', '价格': '2.30', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': '0504R007', '股票代码': '203016', '价格': '100.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'RC001', '股票代码': '202001', '价格': '1.98', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': '0504R028', '股票代码': '203017', '价格': '100.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': '0504R091', '股票代码': '203018', '价格': '100.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': '0512R028', '股票代码': '203041', '价格': '100.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': '0512R091', '股票代码': '203042', '价格': '100.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': '0603R007', '股票代码': '203052', '价格': '100.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': '0603R028', '股票代码': '203053', '价格': '100.00', '升跌': '--', '涨跌幅': '0.00%'}
{'股票名称': 'GC002', '股票代码': '204002', '价格': '2.71', '升跌': '+0.09', '涨跌幅': '+3.43%'}
{'股票名称': 'GC001', '股票代码': '204001', '价格': '2.79', '升跌': '+0.14', '涨跌幅': '+5.49%'}
{'股票名称': 'GC004', '股票代码': '204004', '价格': '2.74', '升跌': '+0.07', '涨跌幅': '+2.62%'}
{'股票名称': 'GC007', '股票代码': '204007', '价格': '2.91', '升跌': '+0.20', '涨跌幅': '+7.38%'}
{'股票名称': 'GC091', '股票代码': '204091', '价格': '3.20', '升跌': '+0.01', '涨跌幅': '+0.47%'}
{'股票名称': 'GC014', '股票代码': '204014', '价格': '2.87', '升跌': '+0.08', '涨跌幅': '+3.05%'}
{'股票名称': 'GC182', '股票代码': '204182', '价格': '2.69', '升跌': '-0.32', '涨跌幅': '-10.63%'}
{'股票名称': '基金金泰', '股票代码': '500001', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金安信', '股票代码': '500003', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金泰和', '股票代码': '500002', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金汉盛', '股票代码': '500005', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金裕阳', '股票代码': '500006', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金兴华', '股票代码': '500008', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': 'GC028', '股票代码': '204028', '价格': '2.85', '升跌': '+0.07', '涨跌幅': '+2.70%'}
{'股票名称': '基金金元', '股票代码': '500010', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金安瑞', '股票代码': '500013', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金景阳', '股票代码': '500007', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金汉兴', '股票代码': '500015', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金裕元', '股票代码': '500016', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金金鑫', '股票代码': '500011', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金金鼎', '股票代码': '500021', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金科讯', '股票代码': '500029', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金兴业', '股票代码': '500028', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金通乾', '股票代码': '500038', '价格': '0.94', '升跌': '--', '涨跌幅': '0.00%', '最高': '--', '最低': '--', '今开': '--', '昨收': '0.94', '成交额': '--', '成交量': '--', '净值': '0.9515', '折价率': '-1.42'}
{'股票名称': '基金汉博', '股票代码': '500035', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金景业', '股票代码': '500017', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '基金科瑞', '股票代码': '500056', '价格': '0.82', '升跌': '--', '涨跌幅': '0.00%', '最高': '--', '最低': '--', '今开': '--', '昨收': '0.82', '成交额': '--', '成交量': '--', '净值': '0.8540', '折价率': '-3.40'}
{'股票名称': '基金银丰', '股票代码': '500058', '价格': '0.99', '升跌': '--', '涨跌幅': '0.00%', '最高': '--', '最低': '--', '今开': '--', '昨收': '0.99', '成交额': '--', '成交量': '--', '净值': '1.0170', '折价率': '-3.05'}
{'股票名称': '国金鑫新', '股票代码': '501000', '价格': '1.04', '升跌': '+0.04', '涨跌幅': '+4.10%', '最高': '1.04', '最低': '0.91', '今开': '0.91', '昨收': '1.00', '成交额': '184', '成交量': '1手', '净值': '0.9500', '折价率': '9.58'}
{'股票名称': '基金普润', '股票代码': '500019', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '财通多策略（LOF）', '股票代码': '501001', '价格': '0.98', '升跌': '+0.01', '涨跌幅': '+1.44%', '最高': '0.99', '最低': '0.97', '今开': '0.97', '昨收': '0.97', '成交额': '11.13万', '成交量': '1131手', '净值': '0.9630', '折价率': '2.18'}
{'股票名称': '长信优选', '股票代码': '501003', '价格': '0.95', '升跌': '--', '涨跌幅': '0.00%', '最高': '--', '最低': '--', '今开': '--', '昨收': '0.95', '成交额': '--', '成交量': '--', '净值': '0.9067', '折价率': '4.89'}
{'股票名称': '互联医疗', '股票代码': '501007', '价格': '0.81', '升跌': '-0.03', '涨跌幅': '-3.23%', '最高': '0.83', '最低': '0.81', '今开': '0.81', '昨收': '0.84', '成交额': '2.09万', '成交量': '253手', '净值': '0.8044', '折价率': '0.57'}
{'股票名称': '精准医疗', '股票代码': '501005', '价格': '0.75', '升跌': '-0.02', '涨跌幅': '-2.85%', '最高': '0.76', '最低': '0.75', '今开': '0.76', '昨收': '0.77', '成交额': '7.42万', '成交量': '988手', '净值': '0.7499', '折价率': '-0.12'}
{'股票名称': '长信中证能源', '股票代码': '501002', '价格': '0.61', '升跌': '-0.01', '涨跌幅': '-2.08%', '最高': '0.62', '最低': '0.61', '今开': '0.62', '昨收': '0.63', '成交额': '8382', '成交量': '135手', '净值': '0.6100', '折价率': '0.49'}
{'股票名称': '互联医C', '股票代码': '501008', '价格': '0.86', '升跌': '--', '涨跌幅': '0.00%', '最高': '--', '最低': '--', '今开': '--', '昨收': '0.86', '成交额': '--', '成交量': '--', '净值': '0.8009', '折价率': '6.88'}
{'股票名称': '中药基金', '股票代码': '501011', '价格': '0.79', '升跌': '-0.01', '涨跌幅': '-1.49%', '最高': '0.80', '最低': '0.79', '今开': '0.80', '昨收': '0.80', '成交额': '1278', '成交量': '16手', '净值': '0.7939', '折价率': '-0.24'}
{'股票名称': '生物科C', '股票代码': '501010', '价格': '1.01', '升跌': '-0.01', '涨跌幅': '-0.98%', '最高': '1.01', '最低': '0.97', '今开': '1.00', '昨收': '1.02', '成交额': '1.03万', '成交量': '106手', '净值': '0.9895', '折价率': '2.48'}
{'股票名称': '财通升级（LOF）', '股票代码': '501015', '价格': '0.75', '升跌': '-0.02', '涨跌幅': '-2.71%', '最高': '0.76', '最低': '0.75', '今开': '0.76', '昨收': '0.77', '成交额': '11.72万', '成交量': '1553手', '净值': '0.7670', '折价率': '-1.69'}
{'股票名称': '中药C', '股票代码': '501012', '价格': '0.82', '升跌': '+0.01', '涨跌幅': '+1.36%', '最高': '0.82', '最低': '0.80', '今开': '0.80', '昨收': '0.81', '成交额': '5102', '成交量': '64手', '净值': '0.7907', '折价率': '3.58'}
{'股票名称': '基金同德', '股票代码': '500039', '价格': '', '升跌': '--', '涨跌幅': '%'}
{'股票名称': '券商基金', '股票代码': '501016', '价格': '0.79', '升跌': '-0.02', '涨跌幅': '-2.10%', '最高': '0.81', '最低': '0.79', '今开': '0.81', '昨收': '0.81', '成交额': '61.36万', '成交量': '7741手', '净值': '0.7845', '折价率': '0.83'}
{'股票名称': '国泰融丰', '股票代码': '501017', '价格': '0.77', '升跌': '-0.03', '涨跌幅': '-3.51%', '最高': '0.77', '最低': '0.77', '今开': '0.77', '昨收': '0.80', '成交额': '8815', '成交量': '114手', '净值': '0.7720', '折价率': '-0.39'}
{'股票名称': '南方原油A', '股票代码': '501018', '价格': '1.03', '升跌': '-0.03', '涨跌幅': '-2.46%', '最高': '1.06', '最低': '1.03', '今开': '1.05', '昨收': '1.06', '成交额': '524.14万', '成交量': '5.02万手', '净值': '1.0600', '折价率': '-2.55'}
{'股票名称': '军工基金', '股票代码': '501019', '价格': '0.64', '升跌': '-0.02', '涨跌幅': '-3.05%', '最高': '0.66', '最低': '0.63', '今开': '0.66', '昨收': '0.66', '成交额': '6.01万', '成交量': '927手', '净值': '0.6362', '折价率': '-0.03'}
{'股票名称': '港中小企', '股票代码': '501023', '价格': '1.04', '升跌': '0.00', '涨跌幅': '-0.38%'}
{'股票名称': '港中小企', '股票代码': '501023', '价格': '1.04', '升跌': '0.00', '涨跌幅': '-0.38%', '最高': '1.04', '最低': '1.04', '今开': '1.04', '昨收': '1.04', '成交额': '208', '成交量': '2手', '净值': '1.0683', '折价率': '-2.56'}
{'股票名称': '香港中小', '股票代码': '501021', '价格': '1.27', '升跌': '-0.01', '涨跌幅': '-1.02%', '最高': '1.28', '最低': '1.26', '今开': '1.27', '昨收': '1.28', '成交额': '15.53万', '成交量': '1231手', '净值': '1.2727', '折价率': '-0.53'}
{'股票名称': '银华鑫盛', '股票代码': '501022', '价格': '0.78', '升跌': '-0.01', '涨跌幅': '-1.39%', '最高': '0.78', '最低': '0.78', '今开': '0.78', '昨收': '0.79', '成交额': '1.17万', '成交量': '150手', '净值': '0.7830', '折价率': '-0.26'}
{'股票名称': '财通多策略福享', '股票代码': '501026', '价格': '0.71', '升跌': '-0.01', '涨跌幅': '-0.98%', '最高': '0.71', '最低': '0.70', '今开': '0.71', '昨收': '0.72', '成交额': '3.55万', '成交量': '500手', '净值': '0.7081', '折价率': '0.13'}
{'股票名称': '红利基金A', '股票代码': '501029', '价格': '0.86', '升跌': '-0.03', '涨跌幅': '-2.95%', '最高': '0.88', '最低': '0.85', '今开': '0.88', '昨收': '0.88', '成交额': '935.36万', '成交量': '10.81万手', '净值': '0.8532', '折价率': '0.21'}
{'股票名称': '生物科技', '股票代码': '501009', '价格': '1.00', '升跌': '-0.01', '涨跌幅': '-0.79%', '最高': '1.01', '最低': '0.98', '今开': '1.01', '昨收': '1.01', '成交额': '10.75万', '成交量': '1080手', '净值': '0.9866', '折价率': '1.86'}
{'股票名称': '环境治理', '股票代码': '501030', '价格': '0.54', '升跌': '-0.02', '涨跌幅': '-4.24%', '最高': '0.56', '最低': '0.54', '今开': '0.56', '昨收': '0.57', '成交额': '1.35万', '成交量': '249手', '净值': '0.5406', '折价率': '0.26'}
{'股票名称': '财通福盛', '股票代码': '501032', '价格': '0.71', '升跌': '--', '涨跌幅': '0.00%', '最高': '--', '最低': '--', '今开': '--', '昨收': '0.71', '成交额': '--', '成交量': '--', '净值': '0.7425', '折价率': '-4.38'}
{'股票名称': '创金鼎鑫睿选', '股票代码': '501035', '价格': '0.95', '升跌': '--', '涨跌幅': '0.00%', '最高': '0.95', '最低': '0.95', '今开': '0.95', '昨收': '0.95', '成交额': '949', '成交量': '10手', '净值': '0.9521', '折价率': '-0.33'}
{'股票名称': '银华明择', '股票代码': '501038', '价格': '0.86', '升跌': '-0.02', '涨跌幅': '-1.83%', '最高': '0.87', '最低': '0.85', '今开': '0.87', '昨收': '0.88', '成交额': '42.86万', '成交量': '4999手', '净值': '0.8859', '折价率': '-3.04'}
{'股票名称': '添富睿丰', '股票代码': '501039', '价格': '1.02', '升跌': '--', '涨跌幅': '0.00%', '最高': '1.02', '最低': '1.02', '今开': '1.02', '昨收': '1.02', '成交额': '6.46万', '成交量': '635手', '净值': '1.0370', '折价率': '-1.93'}
